,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
932,Лада Веста,2022,бензин,1.6,113.0,вариатор,передний,белый,36780.0,левый,8.7,1473000
933,Audi A6,2018,дизель,2.0,190.0,робот,передний,черный,164000.0,левый,8.9,2100000
934,Renault Megane,2014,бензин,1.2,132.0,робот,передний,серый,171666.0,левый,8.3,999999
935,Skoda Octavia,2005,бензин,1.8,150.0,механика,передний,черный,360000.0,левый,8.8,375000
936,Honda Jazz,2008,бензин,1.3,83.0,вариатор,передний,синий,121000.0,левый,8.8,670000
937,Daihatsu Sonica,2007,бензин,0.7,64.0,вариатор,передний,,120000.0,правый,8.7,180000
938,Mercedes-Benz C-Class,2017,бензин,3.0,367.0,АКПП,4WD,синий,31475.0,левый,,4119700
939,Geely Atlas Pro,2021,бензин,1.5,177.0,робот,4WD,черный,20830.0,левый,,2389700
940,MINI Countryman,2019,бензин,2.0,192.0,АКПП,4WD,синий,65271.0,левый,8.9,2955950
941,Audi Q5 Sportback,2021,бензин,2.0,249.0,автомат,4WD,зеленый,28764.0,левый,,5755750
942,BMW X7,2022,дизель,3.0,340.0,АКПП,4WD,черный,3083.0,левый,,16500000
943,Mazda Mazda6,2021,бензин,2.0,150.0,АКПП,передний,черный,25476.0,левый,8.9,2349000
944,BMW 3-Series,2015,бензин,2.0,184.0,АКПП,4WD,черный,138000.0,левый,8.8,1617000
945,Лада Веста,2018,бензин,1.8,122.0,робот,передний,черный,64300.0,левый,8.7,978000
946,Hyundai Tucson,2019,бензин,2.0,150.0,АКПП,4WD,черный,53000.0,левый,8.6,2200000
947,Лада Веста Кросс,2018,бензин,1.8,122.0,механика,передний,оранжевый,153000.0,левый,8.7,930000
948,Skoda Octavia,2017,бензин,1.6,110.0,АКПП,передний,коричневый,180000.0,левый,8.8,1430000
949,Suzuki Grand Vitara,2011,бензин,2.0,140.0,АКПП,4WD,бежевый,190000.0,левый,8.4,1190000
950,Jeep Grand Cherokee,2018,бензин,6.2,717.0,автомат,4WD,черный,37000.0,левый,8.9,7300000
951,Лада 2104,2008,бензин,1.6,74.0,механика,задний,синий,100000.0,левый,,71000
952,Skoda Fabia,2010,бензин,1.4,180.0,робот,передний,зеленый,185833.0,левый,8.5,643000
953,Skoda Octavia,2014,бензин,2.0,220.0,робот,передний,синий,177000.0,левый,8.8,1500000
954,Porsche Cayenne,2020,бензин,2.9,440.0,АКПП,4WD,оранжевый,24450.0,левый,,10400000
955,Mazda Mazda3,2007,бензин,1.6,105.0,механика,передний,голубой,6200.0,левый,8.8,1250000
956,Toyota Prius,2016,бензин,1.8,98.0,вариатор,передний,белый,87800.0,правый,8.8,1567000
957,Ford Focus,2008,бензин,1.6,100.0,АКПП,передний,синий,228000.0,левый,8.5,375000
958,BMW X1,2019,бензин,2.0,231.0,автомат,4WD,черный,43360.0,левый,8.8,2900000
959,Toyota RAV4,2014,бензин,2.0,146.0,вариатор,передний,белый,245125.0,левый,8.7,1413000
960,Suzuki Grand Vitara,2012,бензин,2.0,140.0,АКПП,4WD,белый,106600.0,левый,8.4,1209000
961,Ford Scorpio,1992,бензин,2.4,125.0,механика,задний,серебристый,117472.0,левый,7.9,131000
962,Lexus NX200,2015,бензин,2.0,150.0,вариатор,4WD,белый,86428.0,левый,,2610000
963,Ford Focus,2013,бензин,1.6,105.0,робот,передний,серый,142000.0,левый,8.5,730000
964,Tank 300,2022,бензин,2.0,220.0,автомат,4WD,,,левый,,4058000
965,Mercedes-Benz GLS-Class,2020,дизель,2.9,330.0,АКПП,4WD,черный,28290.0,левый,,10850000
966,Mercedes-Benz GLE,2017,бензин,3.5,249.0,АКПП,4WD,белый,79729.0,левый,,4145000
967,EXEED VX,2022,бензин,2.0,249.0,робот,4WD,белый,,левый,,5279900
968,Skoda Fabia,2010,бензин,1.2,70.0,механика,передний,черный,264772.0,левый,8.5,390000
969,Audi A4,2015,бензин,1.4,150.0,робот,передний,черный,102000.0,левый,8.8,1583000
970,Лада 2114 Самара,2010,бензин,1.6,81.0,механика,передний,черный,150000.0,левый,7.9,80000
971,BMW 1-Series,2010,бензин,1.6,116.0,АКПП,задний,белый,260001.0,левый,8.9,670000
972,Лада Гранта,2019,бензин,1.6,106.0,механика,передний,серебристый,73089.0,левый,8.1,726000
973,Лада Ларгус,2019,бензин,1.6,106.0,механика,передний,коричневый,136648.0,левый,8.3,1050000
974,Volvo XC60,2018,бензин,2.0,249.0,АКПП,4WD,серебристый,60000.0,левый,,3440000
975,Nissan X-Trail,2013,бензин,2.0,141.0,вариатор,4WD,синий,117461.0,левый,8.5,1290000
976,Jeep Wrangler,2020,бензин,2.0,272.0,АКПП,4WD,красный,36869.0,левый,8.7,5495000
977,Mazda Mazda3,2012,бензин,1.6,105.0,АКПП,передний,черный,145456.0,левый,8.8,890000
978,Infiniti QX80,2017,бензин,5.6,405.0,АКПП,4WD,синий,138149.0,левый,,3969700
979,Skoda Octavia,2017,бензин,1.8,180.0,робот,передний,белый,134500.0,левый,8.8,1648000
980,Volkswagen Polo,2017,бензин,1.6,110.0,АКПП,передний,коричневый,108000.0,левый,8.6,938000
981,Mazda CX-5,2023,бензин,2.5,196.0,автомат,передний,белый,,левый,,4590000
982,Volkswagen Tiguan,2018,бензин,2.0,180.0,робот,4WD,белый,89600.0,левый,,2470000
983,Renault Duster,2013,бензин,1.6,102.0,механика,4WD,белый,172600.0,левый,8.3,698000
984,Opel Zafira,2012,бензин,1.8,140.0,робот,передний,серебристый,94464.0,левый,8.5,794000
985,Hyundai Solaris,2015,бензин,1.6,123.0,механика,передний,белый,257158.0,левый,8.8,551000
986,Mazda CX-9,2020,бензин,2.5,231.0,АКПП,4WD,белый,79585.0,левый,,3710000
987,Kia Sportage,2018,бензин,2.0,150.0,АКПП,4WD,коричневый,25392.0,левый,8.7,2130000
988,Volkswagen Passat,2011,бензин,1.4,160.0,механика,передний,серый,240000.0,левый,8.6,840000
989,Nissan Cefiro,1998,бензин,2.0,160.0,АКПП,передний,серый,275000.0,правый,8.3,169000
990,Kia Mohave,2020,дизель,3.0,260.0,автомат,4WD,серый,26000.0,левый,8.8,4650000
991,Hyundai Santa Fe,2018,дизель,2.2,200.0,АКПП,4WD,серый,81000.0,левый,8.7,2850000
992,Toyota RAV4,2022,бензин,2.0,173.0,вариатор,4WD,черный,1.0,левый,8.7,4000000
993,Jeep Gladiator,2020,бензин,3.6,285.0,АКПП,4WD,черный,15000.0,левый,,6750000
994,Jeep Wrangler,2018,бензин,2.0,272.0,АКПП,4WD,черный,37700.0,левый,8.7,5200000
995,Mercedes-Benz G-Class,2015,бензин,6.3,544.0,автомат,4WD,черный,52000.0,левый,8.9,9000000
996,Mercedes-Benz S-Class,2016,бензин,5.5,585.0,робот,4WD,черный,75000.0,левый,,8500000
997,Лада 2115 Самара,2011,бензин,1.6,81.0,механика,передний,серебристый,250000.0,левый,7.6,120000
998,Kia Soul,2017,бензин,1.6,204.0,робот,передний,белый,121950.0,левый,8.8,1249000
999,BMW X5,2014,бензин,3.0,306.0,АКПП,4WD,белый,117389.0,левый,,2599000
1000,Kia Sorento,2018,дизель,2.2,200.0,АКПП,4WD,коричневый,83423.0,левый,8.6,2699000
1001,Toyota Highlander,2012,бензин,3.5,273.0,АКПП,4WD,черный,150851.0,левый,,1449000
1002,ГАЗ 14 Чайка,1985,бензин,5.5,220.0,АКПП,задний,черный,39316.0,левый,,3000000
1003,Changan UNI-K,2021,бензин,2.0,232.0,АКПП,4WD,серый,17000.0,левый,,3550000
1004,Kia Carnival,2021,дизель,2.2,199.0,АКПП,передний,черный,20500.0,левый,8.6,4250000
1005,Hyundai Grand Starex,2010,дизель,2.5,145.0,автомат,задний,белый,140602.0,левый,8.6,1349000
1006,Infiniti QX56,2010,бензин,5.6,405.0,АКПП,4WD,черный,155314.0,левый,,1549000
1007,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,132664.0,левый,8.9,1349000
1008,Hyundai Grand Starex,2011,дизель,2.5,145.0,автомат,задний,серый,143414.0,левый,8.6,1249000
1009,Volkswagen Polo,2019,бензин,1.6,110.0,АКПП,передний,синий,80778.0,левый,8.6,1099000
1010,Kia Mohave,2020,дизель,3.0,260.0,автомат,4WD,серый,26000.0,левый,8.8,4650000
1011,Hyundai Santa Fe,2018,дизель,2.2,200.0,АКПП,4WD,серый,81000.0,левый,8.7,2850000
1012,Toyota RAV4,2022,бензин,2.0,173.0,вариатор,4WD,черный,1.0,левый,8.7,4000000
1013,Jeep Gladiator,2020,бензин,3.6,285.0,АКПП,4WD,черный,15000.0,левый,,6750000
1014,Jeep Wrangler,2018,бензин,2.0,272.0,АКПП,4WD,черный,37700.0,левый,8.7,5200000
1015,Mercedes-Benz G-Class,2015,бензин,6.3,544.0,автомат,4WD,черный,52000.0,левый,8.9,9000000
1016,Mercedes-Benz S-Class,2016,бензин,5.5,585.0,робот,4WD,черный,75000.0,левый,,8500000
1017,Лада 2115 Самара,2011,бензин,1.6,81.0,механика,передний,серебристый,250000.0,левый,7.6,120000
1018,Kia Soul,2017,бензин,1.6,204.0,робот,передний,белый,121950.0,левый,8.8,1249000
1019,BMW X5,2014,бензин,3.0,306.0,АКПП,4WD,белый,117389.0,левый,,2599000
1020,Kia Sorento,2018,дизель,2.2,200.0,АКПП,4WD,коричневый,83423.0,левый,8.6,2699000
1021,Toyota Highlander,2012,бензин,3.5,273.0,АКПП,4WD,черный,150851.0,левый,,1449000
1022,ГАЗ 14 Чайка,1985,бензин,5.5,220.0,АКПП,задний,черный,39316.0,левый,,3000000
1023,Changan UNI-K,2021,бензин,2.0,232.0,АКПП,4WD,серый,17000.0,левый,,3550000
1024,Kia Carnival,2021,дизель,2.2,199.0,АКПП,передний,черный,20500.0,левый,8.6,4250000
1025,Hyundai Grand Starex,2010,дизель,2.5,145.0,автомат,задний,белый,140602.0,левый,8.6,1349000
1026,Infiniti QX56,2010,бензин,5.6,405.0,АКПП,4WD,черный,155314.0,левый,,1549000
1027,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,132664.0,левый,8.9,1349000
1028,Hyundai Grand Starex,2011,дизель,2.5,145.0,автомат,задний,серый,143414.0,левый,8.6,1249000
1029,Volkswagen Polo,2019,бензин,1.6,110.0,АКПП,передний,синий,80778.0,левый,8.6,1099000
1030,Great Wall Hover H5,2012,бензин,2.4,136.0,механика,4WD,серый,110791.0,левый,8.5,699000
1031,Toyota Land Cruiser,2007,бензин,4.7,238.0,АКПП,4WD,черный,339000.0,левый,,2200000
1032,Honda Stepwgn,2019,бензин,2.0,145.0,вариатор,передний,черный,98000.0,правый,8.8,2500000
1033,Mercedes-Benz GLE,2019,дизель,3.0,272.0,автомат,4WD,черный,67908.0,левый,,6590000
1034,Mercedes-Benz EQV,2021,электро,,204.0,АКПП,передний,черный,19690.0,левый,,7890000
1035,Toyota Voxy,2012,бензин,2.0,155.0,вариатор,4WD,черный,150000.0,правый,8.9,1470000
1036,Nissan Terrano,2018,бензин,2.0,143.0,АКПП,4WD,белый,95000.0,левый,8.1,1580000
1037,Kia Carnival,2019,дизель,2.2,202.0,АКПП,передний,белый,62000.0,левый,8.6,3150000
1038,Kia K5,2019,бензин,2.0,160.0,АКПП,передний,синий,26000.0,левый,,2900000
1039,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,синий,74000.0,левый,8.6,3315000
1040,SsangYong Actyon,2013,дизель,2.0,149.0,АКПП,передний,белый,139347.0,левый,8.5,799000
1041,Mercedes-Benz GL-Class,2012,дизель,3.0,224.0,АКПП,4WD,черный,140288.0,левый,,1649000
1042,Volkswagen Tiguan,2012,бензин,2.0,170.0,АКПП,4WD,синий,135671.0,левый,,1149000
1043,Skoda Rapid,2016,бензин,1.4,125.0,робот,передний,синий,129206.0,левый,,949000
1044,Jeep Grand Cherokee,2013,дизель,3.0,243.0,автомат,4WD,белый,132657.0,левый,8.9,2049000
1045,Hyundai Creta,2017,бензин,1.6,121.0,АКПП,4WD,черный,117342.0,левый,,1299000
1046,Volvo S80,2012,бензин,2.5,249.0,АКПП,передний,черный,145132.0,левый,,949000
1047,Land Rover Discovery,2012,дизель,3.0,245.0,АКПП,4WD,черный,146000.0,левый,8.9,1429000
1048,Honda Stepwgn,2015,бензин,1.5,150.0,вариатор,передний,белый,92000.0,правый,8.8,1889000
1049,Land Rover Range Rover Sport,2018,бензин,2.0,300.0,АКПП,4WD,серый,25125.0,левый,,6300000
1050,Toyota Roomy,2018,бензин,1.0,69.0,вариатор,передний,серебристый,74000.0,правый,8.6,1150000
1051,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,22644.0,левый,8.6,4850000
1052,Mercedes-Benz GLS-Class,2021,бензин,4.0,612.0,АКПП,4WD,серебристый,31000.0,левый,,20500000
1053,Chevrolet Niva,2005,бензин,1.7,80.0,механика,4WD,серый,289000.0,левый,7.5,270000
1054,Mercedes-Benz A-Class,2014,бензин,1.6,122.0,робот,передний,голубой,120208.0,левый,8.6,1249000
1055,Volkswagen Multivan,2013,дизель,2.0,180.0,робот,передний,серебристый,162134.0,левый,8.8,2149000
1056,BMW X4,2016,дизель,2.0,190.0,АКПП,4WD,черный,90186.0,левый,,2299000
1057,Mazda CX-9,2013,бензин,3.7,277.0,АКПП,4WD,синий,139258.0,левый,,1399000
1058,Hyundai Grand Starex,2012,дизель,2.5,145.0,автомат,задний,черный,135898.0,левый,8.6,1899000
1059,Volkswagen Multivan,2011,дизель,2.0,140.0,робот,передний,черный,127548.0,левый,8.8,1849000
1060,Mercedes-Benz Viano,2008,бензин,3.5,258.0,АКПП,задний,черный,140455.0,левый,8.8,1099000
1061,Jeep Grand Cherokee,2022,бензин,3.6,290.0,АКПП,4WD,зеленый,,левый,8.9,10850000
1062,Mercedes-Benz E-Class,2006,бензин,1.8,184.0,АКПП,задний,черный,350000.0,левый,8.9,690000
1063,Audi Q7,2020,дизель,3.0,249.0,АКПП,4WD,серый,20000.0,левый,,8090000
1064,Toyota Camry,2012,бензин,3.5,277.0,АКПП,передний,черный,141569.0,левый,8.8,1760000
1065,Honda Accord,2017,бензин,2.4,185.0,вариатор,передний,белый,36000.0,левый,,1650000
1066,Hyundai Santa Fe,2013,дизель,2.2,197.0,АКПП,4WD,синий,157039.0,левый,8.7,1499000
1067,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,129795.0,левый,8.9,1449000
1068,Jeep Grand Cherokee,2013,дизель,3.0,243.0,автомат,4WD,синий,147552.0,левый,8.9,2199000
1069,Opel Astra,2013,бензин,1.4,140.0,АКПП,передний,черный,115239.0,левый,8.6,749000
1070,BMW X6,2012,бензин,3.0,306.0,АКПП,4WD,черный,133299.0,левый,,1649000
1071,Skoda Kodiaq,2021,бензин,1.4,150.0,робот,4WD,коричневый,78214.0,левый,,2349000
1072,Audi A7,2012,бензин,3.0,310.0,робот,4WD,серый,128096.0,левый,,1749000
1073,Peugeot RCZ,2013,бензин,1.6,156.0,механика,передний,серебристый,57800.0,левый,8.5,1600000
1074,Audi A3,2012,бензин,1.2,105.0,робот,передний,черный,144000.0,левый,,830000
1075,BMW 5-Series,2019,бензин,2.0,184.0,АКПП,4WD,черный,47500.0,левый,8.9,3990000
1076,Volkswagen Passat,2019,дизель,2.0,190.0,робот,передний,белый,137000.0,левый,8.6,2470000
1077,Kia Sorento,2020,дизель,2.2,202.0,робот,4WD,черный,39000.0,левый,8.6,4200000
1078,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,13025.0,левый,8.6,3600000
1079,BMW 6-Series Gran Turismo,2019,дизель,2.0,190.0,автомат,задний,фиолетовый,32000.0,левый,8.6,4560000
1080,Mercedes-Benz S-Class,2018,бензин,4.0,469.0,АКПП,4WD,черный,124000.0,левый,,7892000
1081,Toyota Voxy,2019,бензин,1.8,99.0,вариатор,передний,белый,37000.0,правый,8.9,2400000
1082,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,черный,75165.0,левый,8.6,3850000
1083,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,задний,белый,17042.0,левый,8.6,3900000
1084,Kia Carnival,2021,дизель,2.2,199.0,АКПП,передний,белый,24076.0,левый,8.6,4650000
1085,Mercedes-Benz GLE Coupe,2022,дизель,2.0,272.0,автомат,4WD,белый,,левый,,10100000
1086,BMW X4,2019,бензин,3.0,480.0,АКПП,4WD,белый,33000.0,левый,,6600000
1087,BMW 5-Series,2014,бензин,2.0,184.0,АКПП,задний,белый,215000.0,левый,8.9,1700000
1088,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,белый,,левый,,6600000
1089,Volkswagen Tiguan,2017,бензин,1.4,150.0,робот,передний,белый,155000.0,левый,,1870000
1090,Kia Mohave,2022,дизель,3.0,249.0,АКПП,4WD,черный,,левый,8.8,5650000
1091,Audi Q7,2019,бензин,3.0,333.0,АКПП,4WD,черный,60000.0,левый,,4550000
1092,Rivian R1T,2022,электро,,760.0,АКПП,4WD,зеленый,,левый,,15990000
1093,Mercedes-Benz GLS-Class,2022,бензин,3.0,362.0,АКПП,4WD,синий,4000.0,левый,,12600000
1094,Toyota Land Cruiser Prado,2020,бензин,4.0,249.0,АКПП,4WD,черный,18000.0,левый,,6800000
1095,Audi TT,2018,бензин,2.0,245.0,робот,4WD,серый,42000.0,левый,,4200000
1096,Renault Samsung QM6,2018,дизель,2.0,177.0,автомат,4WD,белый,63925.0,левый,,2599999
1097,Toyota Aqua,2018,бензин,1.5,74.0,вариатор,передний,черный,39990.0,правый,,1180000
1098,Hyundai Palisade,2022,дизель,2.2,202.0,АКПП,передний,черный,12000.0,левый,,5500000
1099,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,4WD,белый,13825.0,левый,8.6,4550000
1100,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,42213.0,левый,8.6,3990000
1101,Mitsubishi L200,2022,дизель,2.4,154.0,механика,4WD,черный,,левый,8.4,3480000
1102,Mercedes-Benz S-Class,2022,бензин,4.0,503.0,АКПП,4WD,черный,18000.0,левый,,16890000
1103,Tesla Model X,2022,электро,,670.0,автомат,4WD,белый,,левый,8.4,11450000
1104,Lexus LX450d,2016,дизель,4.5,272.0,АКПП,4WD,черный,55000.0,левый,,7500000
1105,BMW X7,2019,дизель,3.0,400.0,АКПП,4WD,синий,88500.0,левый,,7940000
1106,Mercedes-Benz GLE Coupe,2022,дизель,2.9,330.0,АКПП,4WD,белый,1.0,левый,,10500000
1107,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,белый,20994.0,левый,8.6,4500000
1108,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,черный,20716.0,левый,8.6,4520000
1109,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,черный,25824.0,левый,8.6,4390000
1110,Hyundai Palisade,2019,дизель,2.2,202.0,АКПП,4WD,белый,10561.0,левый,,4450000
1111,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,черный,,левый,,6600000
1112,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,белый,25382.0,левый,8.6,4450000
1113,Toyota Vellfire,2018,бензин,3.5,301.0,АКПП,передний,черный,995.0,правый,,5650000
1114,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,белый,,левый,,6600000
1115,Ford Escape,2020,бензин,1.5,181.0,АКПП,передний,бордовый,11600.0,левый,8.3,2150000
1116,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,черный,,левый,,6600000
1117,Bentley Continental GT,2014,бензин,6.0,575.0,АКПП,4WD,синий,52200.0,левый,,5300000
1118,Kia Carnival,2019,дизель,2.2,202.0,АКПП,передний,белый,59000.0,левый,8.6,3530000
1119,Mercedes-Benz GL-Class,2015,бензин,3.0,333.0,АКПП,4WD,черный,110000.0,левый,,3100000
1120,Kia Optima,2018,бензин,2.0,150.0,АКПП,передний,белый,150000.0,левый,,1830000
1121,Subaru Outback,2016,бензин,2.5,175.0,вариатор,4WD,серый,123986.0,левый,8.9,1800000
1122,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,16100.0,левый,8.6,3290000
1123,BMW X6,2020,бензин,4.4,625.0,АКПП,4WD,синий,56000.0,левый,,12000000
1124,Mercedes-Benz CL-Class,2010,бензин,4.7,435.0,АКПП,задний,черный,165000.0,левый,,2000000
1125,Mercedes-Benz S-Class,2022,бензин,3.0,435.0,АКПП,4WD,белый,50.0,левый,,17190000
1126,Toyota Camry,2022,бензин,2.5,176.0,автомат,передний,серебристый,40.0,левый,8.8,4050000
1127,Porsche Macan,2014,бензин,3.0,340.0,робот,4WD,белый,89000.0,левый,,3149000
1128,BMW 3-Series,2019,бензин,2.0,184.0,АКПП,задний,белый,64000.0,левый,8.8,3190000
1129,Mercedes-Benz S-Class,2017,бензин,3.0,367.0,АКПП,задний,белый,35600.0,левый,,5990000
1130,Lexus RX300,2020,бензин,2.0,238.0,АКПП,4WD,серый,36220.0,левый,8.9,6100000
1131,Volvo V90,2019,дизель,2.0,190.0,автомат,передний,голубой,122000.0,левый,8.7,2890000
1132,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1133,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
1134,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,846900
1135,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1136,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
1137,Ford Focus,2010,дизель,1.6,109.0,механика,передний,,168000.0,левый,8.5,555000
1138,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,866900
1139,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
1140,Лада 2114 Самара,2010,бензин,1.6,81.0,механика,передний,зеленый,175485.0,левый,7.9,185000
1141,Hyundai Getz,2008,бензин,1.6,106.0,АКПП,передний,черный,164800.0,левый,8.3,399000
1142,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,838900
1143,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
1144,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1145,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
1146,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
1147,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1148,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
1149,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1150,Лада Ларгус,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.3,1100900
1151,Лада Ларгус,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.3,1100900
1152,Volkswagen Golf,2011,,1.6,,автомат,,серый,124021.0,левый,8.7,779000
1153,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
1154,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1155,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
1156,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
1157,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
1158,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
1159,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,885900
1160,Skoda Octavia,2011,,1.4,,механика,,серый,238627.0,левый,8.8,649000
1161,Audi A3,2000,бензин,1.8,125.0,механика,передний,серебристый,293000.0,левый,,169000
1162,Daewoo Nubira,1998,бензин,2.0,133.0,АКПП,передний,красный,148000.0,левый,7.9,139000
1163,Land Rover Discovery,2019,дизель,3.0,249.0,АКПП,4WD,черный,111000.0,левый,8.9,4500000
1164,BMW 8-Series,2022,дизель,3.0,320.0,АКПП,4WD,черный,6800.0,левый,8.5,14600000
1165,Toyota Sienna,2016,бензин,3.5,266.0,АКПП,передний,серый,87000.0,левый,,2150000
1166,Toyota Land Cruiser Prado,2015,дизель,2.8,177.0,АКПП,4WD,белый,85000.0,левый,,3700000
1167,Nissan X-Trail,2022,бензин,2.5,171.0,вариатор,4WD,черный,1.0,левый,8.5,3300000
1168,Skoda Rapid,2015,бензин,1.6,110.0,автомат,,коричневый,204710.0,левый,,600000
1169,Nissan Sentra,2014,бензин,1.6,117.0,вариатор,передний,коричневый,72000.0,левый,8.8,950000
1170,Audi A3,2010,бензин,1.6,102.0,робот,передний,белый,76700.0,левый,,665000
1171,Лада Веста,2022,бензин,1.6,113.0,вариатор,передний,белый,691.0,левый,8.7,1750000
1172,Renault Sandero,2010,бензин,1.6,105.0,АКПП,передний,красный,163084.0,левый,8.2,468000
1173,Dodge Charger,2021,бензин,3.6,296.0,АКПП,задний,черный,12500.0,левый,8.4,2820000
1174,Volkswagen Passat,2020,бензин,2.0,190.0,робот,передний,черный,31000.0,левый,8.6,2550000
1175,Mazda Familia,2000,бензин,1.3,85.0,АКПП,передний,белый,260000.0,правый,7.8,185000
1176,Mazda Mazda6,2008,бензин,1.8,120.0,механика,передний,черный,172000.0,левый,8.9,500000
1177,SsangYong Actyon,2014,бензин,2.0,149.0,АКПП,4WD,красный,107271.0,левый,8.5,1345000
1178,BMW X6,2010,дизель,3.0,306.0,АКПП,4WD,бордовый,190000.0,левый,,1600000
1179,Volkswagen Polo,2022,бензин,1.6,110.0,АКПП,передний,черный,8000.0,левый,8.6,1950000
1180,Kia Sportage,2022,бензин,2.5,190.0,АКПП,4WD,белый,,левый,8.7,3759294
1181,Hyundai Solaris,2014,бензин,1.4,,,передний,серебристый,48950.0,левый,8.8,983000
1182,Skoda Superb,2016,бензин,2.0,280.0,робот,4WD,белый,158000.0,левый,,2293000
1183,Audi A4 allroad quattro,2016,бензин,2.0,249.0,робот,4WD,коричневый,82900.0,левый,8.9,2600000
1184,Toyota Prius,2016,бензин,1.8,98.0,вариатор,передний,белый,178000.0,правый,8.8,1350000
1185,Лада 2105,1997,бензин,1.5,71.0,механика,задний,зеленый,27000.0,,,68000
1186,Honda N-WGN,2016,бензин,0.7,64.0,вариатор,передний,фиолетовый,94000.0,правый,,950000
1187,BMW X5,2019,дизель,3.0,400.0,АКПП,4WD,черный,71000.0,левый,,7599000
1188,Lexus NX200,2015,бензин,2.0,150.0,вариатор,4WD,черный,137000.0,левый,,2200000
1189,Fiat Linea,2008,бензин,1.4,120.0,механика,передний,бордовый,60000.0,левый,8.7,570000
1190,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
1191,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
1192,Volkswagen Tiguan,2019,дизель,2.0,150.0,робот,4WD,серебристый,150000.0,левый,,2400000
1193,Kia Sorento,2012,,2.4,,автомат,,черный,205349.0,левый,8.6,1378000
1194,Лада 2110,1999,бензин,1.5,70.0,механика,передний,голубой,29131.0,,7.6,500000
1195,Toyota Voxy,2016,бензин,1.8,99.0,вариатор,передний,белый,110000.0,правый,8.9,1630000
1196,BMW 5-Series,2008,дизель,2.0,177.0,АКПП,задний,серебристый,215000.0,левый,8.9,870000
1197,Honda Mobilio Spike,2003,бензин,1.5,110.0,вариатор,4WD,серебристый,171000.0,правый,8.5,350000
1198,Skoda Octavia,2017,бензин,1.8,180.0,робот,передний,бежевый,121000.0,левый,8.8,1650000
