,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
59,Land Rover Range Rover Sport,2018,бензин,2.0,300.0,АКПП,4WD,серый,25125.0,левый,,6300000
60,Toyota Roomy,2018,бензин,1.0,69.0,вариатор,передний,серебристый,74000.0,правый,8.6,1150000
61,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,22644.0,левый,8.6,4850000
62,Mercedes-Benz GLS-Class,2021,бензин,4.0,612.0,АКПП,4WD,серебристый,31000.0,левый,,20500000
63,Chevrolet Niva,2005,бензин,1.7,80.0,механика,4WD,серый,289000.0,левый,7.5,270000
64,Mercedes-Benz A-Class,2014,бензин,1.6,122.0,робот,передний,голубой,120208.0,левый,8.6,1249000
65,Volkswagen Multivan,2013,дизель,2.0,180.0,робот,передний,серебристый,162134.0,левый,8.8,2149000
66,BMW X4,2016,дизель,2.0,190.0,АКПП,4WD,черный,90186.0,левый,,2299000
67,Mazda CX-9,2013,бензин,3.7,277.0,АКПП,4WD,синий,139258.0,левый,,1399000
68,Hyundai Grand Starex,2012,дизель,2.5,145.0,автомат,задний,черный,135898.0,левый,8.6,1899000
69,Volkswagen Multivan,2011,дизель,2.0,140.0,робот,передний,черный,127548.0,левый,8.8,1849000
70,Mercedes-Benz Viano,2008,бензин,3.5,258.0,АКПП,задний,черный,140455.0,левый,8.8,1099000
71,Jeep Grand Cherokee,2022,бензин,3.6,290.0,АКПП,4WD,зеленый,,левый,8.9,10850000
72,Mercedes-Benz E-Class,2006,бензин,1.8,184.0,АКПП,задний,черный,350000.0,левый,8.9,690000
73,Audi A4,2004,дизель,1.9,130.0,механика,передний,черный,375000.0,левый,8.8,560000
74,Audi Q7,2020,дизель,3.0,249.0,АКПП,4WD,серый,20000.0,левый,,8090000
75,Toyota Camry,2012,бензин,3.5,277.0,АКПП,передний,черный,141569.0,левый,8.8,1760000
76,Honda Accord,2017,бензин,2.4,185.0,вариатор,передний,белый,36000.0,левый,,1650000
77,Hyundai Santa Fe,2013,дизель,2.2,197.0,АКПП,4WD,синий,157039.0,левый,8.7,1499000
78,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,129795.0,левый,8.9,1449000
79,Jeep Grand Cherokee,2013,дизель,3.0,243.0,автомат,4WD,синий,147552.0,левый,8.9,2199000
80,Opel Astra,2013,бензин,1.4,140.0,АКПП,передний,черный,115239.0,левый,8.6,749000
81,BMW X6,2012,бензин,3.0,306.0,АКПП,4WD,черный,133299.0,левый,,1649000
82,Skoda Kodiaq,2021,бензин,1.4,150.0,робот,4WD,коричневый,78214.0,левый,,2349000
83,Audi A7,2012,бензин,3.0,310.0,робот,4WD,серый,128096.0,левый,,1749000
84,Peugeot RCZ,2013,бензин,1.6,156.0,механика,передний,серебристый,57800.0,левый,8.5,1600000
85,Audi A3,2012,бензин,1.2,105.0,робот,передний,черный,144000.0,левый,,830000
86,BMW 5-Series,2019,бензин,2.0,184.0,АКПП,4WD,черный,47500.0,левый,8.9,3990000
87,Volkswagen Passat,2019,дизель,2.0,190.0,робот,передний,белый,137000.0,левый,8.6,2470000
88,Kia Sorento,2020,дизель,2.2,202.0,робот,4WD,черный,39000.0,левый,8.6,4200000
89,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,13025.0,левый,8.6,3600000
90,BMW 6-Series Gran Turismo,2019,дизель,2.0,190.0,автомат,задний,фиолетовый,32000.0,левый,8.6,4560000
91,Mercedes-Benz S-Class,2018,бензин,4.0,469.0,АКПП,4WD,черный,124000.0,левый,,7892000
92,Toyota Voxy,2019,бензин,1.8,99.0,вариатор,передний,белый,37000.0,правый,8.9,2400000
93,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,черный,75165.0,левый,8.6,3850000
94,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,задний,белый,17042.0,левый,8.6,3900000
95,Kia Carnival,2021,дизель,2.2,199.0,АКПП,передний,белый,24076.0,левый,8.6,4650000
96,Mercedes-Benz GLE Coupe,2022,дизель,2.0,272.0,автомат,4WD,белый,,левый,,10100000
